Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
1,-1.79692,0.346322
2,-1.91331,0.315652
3,-1.73426,0.272609
4,-1.77294,0.315374
5,-1.97859,0.302823
6,-2.03298,0.346811
7,-2.01485,0.322359
8,-2.12109,0.35103
9,-1.82917,0.311555
10,-2.30588,0.345019
11,-2.46221,0.358013
12,-1.91853,0.295046
13,-1.45805,0.265087
14,-1.59324,0.28309
15,-2.46683,0.384185
16,-2.43835,0.388029
17,-2.07882,0.329301
18,-1.8577,0.335372
19,-1.67782,0.276249
20,-1.77027,0.276624
21,-1.79883,0.329602
22,-1.68826,0.318344
23,-1.90013,0.294855
24,-1.97267,0.328111
25,-1.55392,0.273296
26,-2.27211,0.357242
27,-2.14375,0.311093
28,-2.28889,0.334909
29,-1.41075,0.254947
30,-1.61266,0.312941
31,-2.23913,0.348276
32,-2.16558,0.344713
33,-2.02591,0.335676
34,-2.25837,0.376909
35,-0.589414,0.226315
36,-0.696224,0.243916
37,-0.479065,0.17798
38,-0.211448,0.152182
39,-0.440677,0.206011
40,-0.964148,0.27263
41,-0.58595,0.240098
42,-0.675042,0.234167
43,-0.701555,0.2264
44,-0.726764,0.226394
45,-0.37796,0.183814
46,-0.864358,0.253853
47,-0.56498,0.219573
48,-0.408557,0.214887
49,-0.270595,0.193255
50,-0.455861,0.160533
51,-0.647768,0.23454
52,-0.459671,0.171068
53,-0.333991,0.165489
54,-0.571935,0.199384
55,-0.304367,0.183073
56,-0.24943,0.144377
57,-0.651544,0.227282
58,-0.622377,0.220182
59,-0.380235,0.201932
60,-0.621581,0.210887
61,-0.638262,0.224452
62,-0.487939,0.230562
63,-0.548541,0.206292
64,-0.303883,0.147114
65,-0.456883,0.214809
66,-0.52657,0.19288
67,-0.398186,0.192795
68,-0.229316,0.179894
69,0.0352287,0.205038
70,-0.0926316,0.206124
71,-0.355196,0.252396
72,-0.377039,0.240072
73,0.00309649,0.202131
74,0.0514401,0.186755
75,-0.365358,0.240631
76,0.0629073,0.194229
77,-0.116298,0.209951
78,-0.231074,0.203404
79,0.0151054,0.204992
80,0.259313,0.15862
81,0.0405383,0.195537
82,-0.462801,0.293149
83,0.0506167,0.181949
84,0.138448,0.180396
85,-0.0735392,0.216432
86,-0.13612,0.183721
87,-0.0555239,0.222379
88,-0.187835,0.225106
89,0.0912161,0.216988
90,0.132102,0.191037
91,-0.0834933,0.207982
92,-0.0597735,0.185552
93,-0.210446,0.264849
94,0.0106402,0.193048
95,0.141645,0.166152
96,0.33561,0.157237
97,-0.0245388,0.232686
98,-0.442476,0.314906
99,0.11797,0.193779
100,-0.13171,0.21809
101,-0.079981,0.208317
102,0.0582852,0.211159
103,0.22893,0.189496
104,0.61471,0.155935
105,0.286666,0.215759
106,0.410784,0.187172
107,0.509913,0.206903
108,0.565884,0.172631
109,0.458017,0.213012
110,0.50743,0.182225
111,0.511377,0.189561
112,-0.0278929,0.278455
113,0.218205,0.219662
114,0.599637,0.190038
115,0.533172,0.201649
116,0.516834,0.183152
117,0.346429,0.184692
118,-0.0324191,0.230752
119,0.503105,0.196798
120,0.499061,0.175955
121,0.466191,0.168414
122,0.64335,0.125296
123,0.198243,0.227736
124,0.468517,0.186547
125,0.471467,0.198948
126,0.156577,0.236602
127,0.157418,0.279927
128,0.33871,0.198273
129,0.154572,0.279154
130,0.609125,0.178462
131,0.410059,0.174139
132,0.703664,0.15683
133,0.589013,0.15086
134,0.33331,0.199361
135,-0.00950448,0.28558
136,0.556158,0.193103
137,0.996057,0.181228
138,0.746477,0.251113
139,1.09415,0.16741
140,1.13333,0.170704
141,1.12056,0.154706
142,0.736152,0.221214
143,0.955103,0.210572
144,0.90515,0.177547
145,0.703479,0.27199
146,0.829382,0.263383
147,0.923063,0.185095
148,0.824287,0.218609
149,0.931097,0.191537
150,0.729816,0.21832
151,1.10291,0.15076
152,0.735061,0.234663
153,1.10196,0.138309
154,0.639948,0.236146
155,0.685593,0.229087
156,1.17763,0.159569
157,0.977697,0.187589
158,1.10873,0.202212
159,0.617934,0.257316
160,0.383554,0.314815
161,1.09493,0.163588
162,1.08304,0.193703
163,0.86261,0.183345
164,0.832112,0.193194
165,0.963257,0.213495
166,0.949088,0.204189
167,0.649814,0.222928
168,0.629482,0.220032
169,0.627609,0.255423
170,0.755799,0.214221
171,1.08113,0.235701
172,1.48661,0.193134
173,1.48517,0.185582
174,1.31254,0.194554
175,1.47557,0.174546
176,1.39133,0.210339
177,1.28327,0.198443
178,1.31424,0.212644
179,0.925702,0.284801
180,1.30617,0.233836
181,1.63855,0.161243
182,1.00271,0.240214
183,1.51598,0.148887
184,1.44605,0.160441
185,1.81113,0.123971
186,1.29209,0.211567
187,1.55749,0.203046
188,1.40005,0.210188
189,1.29467,0.182257
190,0.842724,0.288837
191,1.294,0.239912
192,1.07451,0.241818
193,1.2269,0.231182
194,1.37034,0.204633
195,1.35273,0.212677
196,1.41701,0.201359
197,1.44903,0.173937
198,1.25108,0.221412
199,1.4713,0.214152
200,1.0931,0.234356
201,1.25022,0.206064
202,1.48574,0.156873
203,1.37558,0.199179
204,1.2445,0.232916
205,2.01468,0.167264
206,1.93418,0.170784
207,1.99122,0.181098
208,1.74838,0.17813
209,1.54519,0.205643
210,1.8376,0.238799
211,2.00089,0.167706
212,2.10681,0.151659
213,2.01946,0.181451
214,1.79911,0.209382
215,1.91414,0.151525
216,1.91128,0.195768
217,1.76079,0.211607
218,1.78507,0.195793
219,2.14347,0.149079
220,1.92279,0.201554
221,1.55928,0.231831
222,1.88732,0.220519
223,1.56431,0.258523
224,1.65062,0.248685
225,2.05661,0.153912
226,1.99964,0.152574
227,1.67278,0.211171
228,1.65215,0.258269
229,1.50637,0.250228
230,1.91423,0.214537
231,1.95223,0.202827
232,2.32931,0.134351
233,1.71338,0.224505
234,1.53,0.290764
235,2.02973,0.18209
236,1.58098,0.24734
237,1.76586,0.223018
238,1.67814,0.239632
239,2.14939,0.259403
240,2.39971,0.196327
241,2.2809,0.187154
242,2.16265,0.267457
243,2.51725,0.200556
244,2.58916,0.192359
245,2.03398,0.254092
246,2.36635,0.237728
247,2.25094,0.21871
248,1.93668,0.333362
249,2.1435,0.242351
250,2.49296,0.197602
251,2.42521,0.179106
252,2.13138,0.258536
253,1.94485,0.263938
254,2.12619,0.235762
255,1.87093,0.264673
256,1.80561,0.30111
257,2.04538,0.246329
258,2.09793,0.235107
259,2.15862,0.22235
260,2.3837,0.190105
261,2.07159,0.214241
262,1.99763,0.260901
263,2.327,0.192505
264,2.15702,0.218539
265,2.56696,0.16078
266,2.27876,0.209402
267,2.59758,0.173343
268,2.56025,0.139075
269,1.88736,0.27271
270,2.24171,0.217101
271,2.32274,0.186531
272,2.06898,0.20863
273,2.92712,0.206932
274,2.73122,0.232598
275,2.65626,0.220023
276,2.27469,0.288099
277,2.91134,0.173893
278,2.27577,0.282133
279,2.74535,0.183567
280,2.52671,0.232876
281,2.64938,0.215313
282,2.94644,0.214942
283,2.6598,0.185596
284,2.70187,0.173079
285,2.76552,0.20715
286,2.56634,0.205531
287,2.739,0.245958
288,2.86648,0.181076
289,2.45383,0.251889
290,2.86497,0.177987
291,2.743,0.176762
292,2.60551,0.237221
293,2.9094,0.145956
294,2.6125,0.233376
295,2.68248,0.237756
296,2.73365,0.232669
297,2.4808,0.236551
298,2.86272,0.190076
299,2.59058,0.225295
300,2.83988,0.214022
301,2.47172,0.278786
302,2.83247,0.186394
303,2.49893,0.248647
304,2.20172,0.297457
305,2.62788,0.225104
306,2.61131,0.254243
307,3.24441,0.195259
308,2.85673,0.302309
309,2.8843,0.241602
310,3.06613,0.248621
311,3.28589,0.193251
312,3.17297,0.196813
313,3.14553,0.205051
314,2.71705,0.248404
315,2.95519,0.230868
316,3.26672,0.228616
317,3.48257,0.122529
318,3.20257,0.193569
319,3.22233,0.24983
320,3.20852,0.178015
321,2.95751,0.248389
322,2.84467,0.264985
323,3.34566,0.19923
324,3.10851,0.193622
325,3.51134,0.134213
326,3.19734,0.183352
327,3.30424,0.205221
328,3.27818,0.204533
329,2.93589,0.235028
330,2.92422,0.265387
331,3.25539,0.169517
332,3.14688,0.194414
333,3.01558,0.240564
334,3.12467,0.188998
335,3.20343,0.204272
336,3.16649,0.17212
337,3.17542,0.215337
338,2.82834,0.243316
339,3.12317,0.221538
340,3.34456,0.197618
341,2.96203,0.309997
342,3.27519,0.229975
343,3.28041,0.23898
344,3.3484,0.248962
345,3.51696,0.202988
346,3.48181,0.230151
347,3.8185,0.149705
348,3.69491,0.183545
349,3.13806,0.259467
350,3.60639,0.194572
351,3.41787,0.224302
352,3.11114,0.259894
353,3.55931,0.178658
354,3.26733,0.253881
355,3.30414,0.229452
356,3.1394,0.277495
357,3.32388,0.225015
358,3.59095,0.190168
359,3.548,0.215343
360,3.39171,0.254658
361,3.41013,0.220611
362,3.63602,0.179867
363,3.56711,0.195076
364,3.49342,0.226231
365,3.13544,0.275783
366,3.32546,0.25421
367,3.43554,0.218268
368,3.73313,0.188168
369,3.16542,0.252802
370,3.51564,0.218388
371,3.56496,0.179501
372,3.43188,0.231185
373,3.89964,0.136013
374,3.59997,0.201836
375,3.72937,0.269484
376,4.06167,0.173483
377,4.02258,0.160041
378,4.01065,0.170905
379,3.76444,0.213118
380,3.72033,0.265314
381,4.15197,0.1807
382,4.08291,0.161142
383,3.74305,0.231372
384,4.1043,0.14377
385,3.79855,0.217968
386,4.03092,0.167802
387,3.6785,0.257173
388,3.89258,0.219728
389,3.81762,0.22124
390,3.88591,0.215346
391,3.76296,0.218398
392,3.67585,0.242565
393,3.61468,0.256221
394,4.08977,0.180978
395,3.67224,0.268369
396,4.04578,0.179047
397,3.52883,0.300077
398,3.53432,0.304853
399,3.58301,0.220042
400,3.58154,0.249736
401,3.6463,0.253252
402,3.75271,0.248173
403,3.42178,0.310162
404,3.51689,0.255216
405,4.18384,0.140205
406,3.60404,0.228462
407,3.79592,0.198259
408,3.84884,0.195442
409,4.2645,0.153156
410,3.48966,0.365582
411,4.1937,0.21814
412,4.19381,0.178563
413,3.9452,0.26512
414,4.14591,0.193899
415,3.89748,0.259184
416,4.20501,0.170612
417,4.05679,0.233757
418,4.46663,0.145058
419,4.19395,0.224509
420,4.21773,0.202229
421,4.22034,0.234546
422,4.29043,0.149285
423,4.21838,0.212578
424,3.90995,0.266171
425,3.74685,0.293744
426,4.24468,0.177358
427,4.26727,0.181829
428,4.30699,0.179835
429,4.32642,0.180346
430,4.33963,0.188104
431,4.3532,0.196102
432,4.34504,0.157025
433,4.29624,0.179334
434,4.49664,0.121883
435,3.89822,0.260458
436,4.21365,0.193204
437,4.30089,0.162138
438,4.40146,0.116071
439,4.12844,0.183277
440,4.33258,0.178337
441,3.92487,0.264926
442,4.21035,0.169537
443,4.51192,0.188695
444,4.33287,0.20741
445,4.00553,0.299114
446,3.93656,0.2877
447,4.56423,0.170176
448,4.28048,0.250286
449,4.53844,0.15003
450,4.11814,0.307726
451,4.75809,0.147671
452,4.53124,0.193996
453,3.93466,0.312065
454,4.16772,0.283784
455,4.10377,0.290176
456,3.86248,0.322588
457,4.73548,0.16516
458,4.63821,0.18078
459,4.36682,0.237188
460,4.8239,0.177159
461,4.42023,0.206775
462,4.49393,0.212364
463,4.2848,0.234575
464,4.49532,0.20197
465,4.61549,0.182162
466,4.36736,0.263034
467,4.47656,0.184079
468,4.60989,0.148574
469,4.14175,0.269865
470,4.35845,0.213502
