Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
1,-1606.96,50.8747
2,-1672.48,38.0097
3,-1580.52,55.507
4,-1655.34,42.4908
5,-1557.45,58.1358
6,-1608.45,46.5703
7,-1738.61,39.0003
8,-1521.09,56.5409
9,-1568.69,52.5085
10,-1651.55,33.3451
11,-1184.69,57.5096
12,-1243.26,69.9891
13,-1257.03,55.2124
14,-1249.12,72.9909
15,-1313.91,50.64
16,-1295.3,60.6633
17,-1170.07,67.8214
18,-1154.73,58.0463
19,-1174.57,66.3574
20,-1206.94,62.0214
21,-870.229,69.2466
22,-931.1,72.0779
23,-859.979,74.3329
24,-965.735,65.0576
25,-883.402,68.8581
26,-938.227,77.1717
27,-877.857,70.9115
28,-989.971,72.8762
29,-904.14,75.2578
30,-894.885,71.0914
31,-734.978,77.5123
32,-580.227,80.1899
33,-832.9,71.7152
34,-721.334,78.5473
35,-663.374,84.3074
36,-678.055,78.074
37,-759.432,74.8739
38,-573.612,78.179
39,-594.661,74.2771
40,-646.132,73.9502
41,-514.162,81.2716
42,-545.788,82.0768
43,-418.394,74.9125
44,-395.265,83.6187
45,-368.351,86.7851
46,-489.304,88.5004
47,-444.838,91.9469
48,-480.655,78.4013
49,-391.481,74.5798
50,-546.898,80.5211
51,-352.173,80.0474
52,-436.793,92.0516
53,-401.537,81.2191
54,-407.842,90.5612
55,-337.074,81.801
56,-127.209,91.2817
57,-326.586,84.771
58,-413.529,90.8316
59,-321.055,77.3869
60,-228.75,75.4326
61,-86.4029,91.8482
62,-331.497,96.5176
63,-210.153,93.0237
64,-115.606,93.3503
65,-204.073,96.8832
66,-231.541,85.7834
67,-216.21,88.3216
68,-68.8618,95.8816
69,-104.522,96.3447
70,-253.868,90.4407
71,102.449,97.4143
72,40.3666,93.858
73,7.46017,91.915
74,93.6999,86.2844
75,43.7707,92.006
76,155.739,101.934
77,-12.8166,89.2858
78,70.775,90.0434
79,-39.5798,86.4807
80,-71.1577,77.7509
81,216.935,94.8371
82,87.8306,85.4114
83,46.1581,92.0217
84,214.649,88.2608
85,164.166,86.4219
86,138.077,96.3942
87,33.5351,99.9728
88,-50.222,102.562
89,200.731,90.6405
90,50.321,94.1458
91,322.858,86.3146
92,252.418,91.4485
93,399.336,83.4477
94,350.108,87.6795
95,351.467,92.0375
96,402.551,87.7447
97,254.478,88.0016
98,261.759,86.0982
99,333.891,89.5407
100,466.814,77.5101
101,339.45,89.5171
102,441.423,81.067
103,506.769,100.204
104,355.793,92.9464
105,330.394,95.3144
106,405.012,89.7692
107,351.993,89.1849
108,404.571,87.591
109,439.111,88.3661
110,503.902,94.2494
111,582.85,80.4856
112,573.551,86.6662
113,532.323,92.2406
114,545.764,91.6694
115,603.334,88.5658
116,356.008,101.545
117,521.478,90.534
118,486.822,95.2961
119,559.465,92.3225
120,408.495,109.044
121,658.43,87.443
122,604.069,87.4548
123,712.583,74.2829
124,752.269,79.0008
125,652.077,90.9254
126,721.857,88.6385
127,665.869,93.2519
128,709.299,84.3524
129,512.366,96.8361
130,550.452,90.367
131,678.791,91.4406
132,854.02,81.3741
133,698.541,89.1953
134,708.564,86.1985
135,644.983,101.353
136,794.714,88.9326
137,703.596,90.3847
138,719.765,88.4385
139,716.962,81.54
140,805.301,83.2424
141,784.853,89.3244
142,803.938,90.5627
143,855.366,84.2644
144,852.626,79.8128
145,831.205,91.9237
146,760.201,81.2785
147,760.72,90.8957
148,830.691,87.2775
149,781.344,93.4969
150,884.049,79.6994
151,838.697,100.065
152,889.475,90.3958
153,832.095,84.3728
154,890.553,78.7955
155,1036.83,68.4211
156,853.545,93.2197
157,955.858,74.7477
158,845.803,85.8325
159,754.509,92.059
160,778.599,86.1705
161,990.433,84.0377
162,956.819,80.2295
163,935.954,75.7145
164,971.597,78.2773
165,996.356,81.4742
166,944.051,76.5615
167,1052.88,69.1472
168,952.979,69.9037
169,915.97,85.3708
170,1055.52,71.0787
171,1015.88,78.5565
172,1081.82,73.145
173,1098.21,73.4271
174,1040.44,86.2536
175,1051.02,71.9474
176,1020.99,77.0451
177,1145.3,79.3738
178,1149.94,61.5148
179,1075.19,76.0509
180,1136.07,69.2021
181,1032.75,81.3094
182,1075.72,75.7483
183,923.952,89.269
184,1049.61,80.8779
185,1051.09,85.146
186,1070.66,75.9926
187,986.095,87.7846
188,1077.1,73.566
189,1156.96,69.8346
190,1015.51,84.934
191,1091.38,73.4086
192,1037.56,91.8869
193,1040.72,89.1041
194,947.161,95.6679
195,1039.92,79.8254
196,1033.2,81.6106
197,1124.07,66.316
198,1008.4,82.8722
199,991.21,78.9408
200,939.089,90.6442
201,1046.32,91.8568
202,1116.61,75.8349
203,1074.19,82.6292
204,1154.16,75.0251
205,1081.64,74.0876
