Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
1,-936.712,164.808
2,-1215.06,121.879
3,-1136.27,139.139
4,-1384,93.4868
5,-1199.89,152.59
6,-1140.85,144.351
7,-1348.26,146.064
8,-1145.75,176.062
9,-1169.38,159.664
10,-1183.15,156.544
11,-754.937,179.594
12,-917.48,176.368
13,-922.051,156.449
14,-783.106,161.892
15,-797.47,155.727
16,-597.833,169.304
17,-1067.53,149.7
18,-676.86,160.961
19,-646.986,207.33
20,-745.21,152.02
21,-444.151,173.65
22,-662.709,170.47
23,-377.678,179.82
24,-709.635,175.74
25,-616.661,152.143
26,-457.598,175.091
27,-340.555,196.297
28,-608.763,156.681
29,-448.547,156.16
30,-627.265,160.182
31,-507.934,205.529
32,-335.768,191.881
33,-284.719,150.157
34,-361.495,208.137
35,-361.976,155.083
36,-391.895,171.987
37,-161.7,208.886
38,-299.241,194.617
39,-190.298,190.621
40,-265.198,200.464
41,14.9997,177.235
42,-5.37621,187.898
43,-357.952,238.205
44,-272.396,197.133
45,30.9135,248.114
46,-122.705,198.998
47,33.594,180.165
48,46.3526,161.824
49,-93.2481,171.568
50,-593.618,242.382
51,85.0145,208.832
52,136.014,202.361
53,-165.183,174.585
54,-59.3163,211.309
55,-45.2519,186.882
56,209.77,207.985
57,-217.887,194.19
58,-104.555,242.058
59,74.725,176.599
60,-249.169,225.845
61,124.743,203.134
62,-442.53,212.984
63,8.41052,221.59
64,94.9859,180.939
65,-31.6027,184.365
66,251.45,210.204
67,251.755,254.49
68,-260.47,214.338
69,-28.001,203.19
70,156.783,177.337
71,484.006,207.616
72,145.765,213.052
73,161.713,249.018
74,316.374,241.311
75,367.742,210.421
76,236.611,197.263
77,-264.193,205.772
78,-149.362,206.043
79,126.575,181.738
80,45.9435,194.456
81,417.59,176.155
82,239.097,223.207
83,99.1549,242.423
84,336.184,225.929
85,251.135,226.059
86,69.975,197.66
87,614.31,179.871
88,38.7686,244.89
89,491.297,197.469
90,517.202,206.405
91,483.293,252.233
92,432.921,232.099
93,307.946,199.613
94,179.826,182.237
95,388.335,207.745
96,91.9175,239.183
