Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
1,-1.20184,0.658271
2,-1.2295,0.787097
3,-1.88794,1.40007
4,-2.43475,2.24649
5,-3.05075,1.897
6,-5.01748,2.23547
7,-3.29828,2.07247
8,-1.65138,1.43339
9,-1.53278,1.27774
10,-2.38415,1.10927
11,-4.63205,2.01628
12,-1.52915,0.613015
13,-2.14603,1.33518
14,-1.01055,0.489472
15,-0.487631,0.584419
16,-2.7775,2.13244
17,-3.64504,2.0971
18,-1.4658,0.833547
19,-1.78631,1.2466
20,-3.8335,2.41389
21,-0.644423,0.465049
22,-2.85135,1.54084
23,-3.42389,1.94946
24,-2.47775,1.21191
25,-4.09389,2.47025
26,-2.68389,1.22172
27,-4.04265,2.78616
28,-1.35753,0.831315
29,-4.34643,2.3366
30,-0.893667,0.589148
31,-2.36137,1.58683
32,-3.03169,1.47531
33,-2.92095,1.72503
34,-2.18766,1.14161
35,-1.34561,0.654725
36,-1.44081,1.08971
37,-1.59421,0.788639
38,-2.1066,1.01657
39,-1.18197,0.601816
40,-1.7113,0.946136
41,-3.24815,2.40982
42,-2.76508,1.3378
43,-3.50154,1.67296
44,-2.2496,1.0908
45,-0.191915,0.291578
46,-0.878824,0.434246
47,-0.85854,0.496454
48,-0.911836,0.505969
49,-0.952232,0.667055
50,-1.66561,0.760677
51,-0.613863,0.414483
52,-1.72845,1.39037
53,-0.29048,0.446481
54,-0.4466,0.344347
55,-0.900807,0.804598
56,-0.185551,0.254636
57,-1.82075,1.2471
58,-2.12985,1.34109
59,-2.54219,1.37487
60,-0.34979,0.302378
61,-2.36103,1.02832
62,-1.83669,0.970981
63,-3.08129,1.35971
64,-1.64675,1.3936
65,-5.24263,2.85223
66,-2.8959,1.8853
67,-2.75552,2.25059
68,-2.06624,1.32769
69,-6.58672,3.24506
70,-2.36374,1.12609
71,-4.43619,2.70619
72,-2.73909,2.01682
73,-5.43317,2.49979
74,-4.31236,2.06758
75,-2.73055,1.58143
76,-3.43975,1.38852
77,-1.34544,0.478423
78,-2.71891,1.07227
79,-4.46566,1.79772
80,-2.69436,1.30572
81,-1.72932,0.915013
82,-6.45981,2.97042
83,-2.77586,1.23301
84,-4.8668,1.84699
85,-4.3607,1.73377
86,-4.23499,3.2494
87,-1.81976,0.832093
88,-7.14941,2.97506
89,-4.95869,2.15906
90,-4.6953,2.2997
91,-2.129,1.21329
92,-1.54249,0.667209
93,-2.70197,1.16875
94,-1.46954,1.02585
95,-2.46449,1.25875
96,-1.59502,0.61518
97,-3.39409,1.57458
98,-4.35198,2.43909
99,-1.42036,0.844925
100,-2.02725,1.66725
101,-1.81185,1.09064
102,-1.08326,0.650317
103,-0.797686,0.502214
104,-3.76195,2.24882
105,-2.89736,1.39873
106,-4.14019,1.29181
107,-6.18842,2.74203
108,-0.799182,0.536499
109,-0.610073,0.577959
110,-1.41144,0.598063
111,-0.965123,0.663402
112,-2.36001,1.00113
113,-2.68932,1.17586
114,-1.55616,0.675751
115,-1.519,0.651539
116,-2.46925,0.93125
117,-1.6662,0.793178
118,-2.28318,1.15004
119,-3.99033,1.83736
120,-0.626508,0.363348
121,-1.76839,0.706998
122,-0.376417,0.404518
123,-0.510852,0.766346
124,-0.357078,0.313575
125,-2.54531,1.85497
126,-0.457469,0.398927
127,-0.889199,0.682015
128,-2.02322,1.11598
129,-0.88204,0.459564
130,-1.65128,1.03938
131,-2.03328,1.4622
132,-0.922681,0.494191
133,-0.813323,0.60688
134,-2.27291,1.67371
135,-1.53603,0.944274
136,-0.826313,0.791329
137,-1.91578,0.970958
138,-1.02379,0.663463
139,-3.56327,1.5449
140,-1.99492,1.29783
141,-1.06467,0.894411
142,-3.18175,1.78591
143,-1.47857,1.24904
144,-2.58465,1.36883
145,-3.39554,2.1286
146,-3.38179,1.71772
147,-2.60016,2.52989
148,-0.362437,0.25772
149,-0.158889,0.318531
150,-2.45719,2.11457
151,-1.98272,0.947584
152,-3.30875,2.11331
153,-2.94102,2.14513
154,-2.42626,1.54229
155,-1.13771,0.670172
156,-1.82521,0.909875
157,-1.61492,0.766891
158,-1.50867,0.717624
159,-3.89483,2.20852
160,-1.29885,0.532861
161,-2.16411,1.57286
162,-2.21339,1.36412
163,-1.2691,0.610688
164,-1.9496,1.35013
165,-3.30377,1.86887
166,-0.878492,0.678131
167,-2.24459,1.64146
168,-3.0383,1.71763
169,-1.99195,0.889494
170,-2.03632,1.61621
171,-1.17251,1.00426
172,-4.39322,2.31912
173,-1.49653,0.642924
174,-2.34788,1.41796
175,-1.28319,1.16071
176,-3.09197,2.03431
177,-3.30371,1.56704
178,-3.11802,1.66668
179,-0.802245,0.476044
180,-0.656813,0.645429
181,-3.00302,1.82924
182,-5.36684,2.56733
183,-1.05005,0.629577
184,-0.819174,0.475222
185,-8.73381,3.3945
186,-3.12682,2.60486
187,-3.77655,2.25306
